Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	49	Métropole	04/03/2020
Bourgogne-Franche-Comté	16	Métropole	04/03/2020
Bretagne	23	Métropole	04/03/2020
Centre-Val de Loire	0	Métropole	04/03/2020
Corse	0	Métropole	04/03/2020
Grand Est	38	Métropole	04/03/2020
Hauts-de-France	65	Métropole	04/03/2020
Ile-de-France	55	Métropole	04/03/2020
Normandie	2	Métropole	04/03/2020
Nouvelle-Aquitaine	5	Métropole	04/03/2020
Occitanie	9	Métropole	04/03/2020
Pays de la Loire	7	Métropole	04/03/2020
Provence-Alpes-Côte d’Azur	13	Métropole	04/03/2020
Guadeloupe	3	Outre Mer	04/03/2020
Saint-Barthélémy	0	Outre Mer	04/03/2020
Saint-Martin	0	Outre Mer	04/03/2020
Guyane	0	Outre Mer	04/03/2020
Martinique	0	Outre Mer	04/03/2020
Mayotte	0	Outre Mer	04/03/2020
La Réunion	0	Outre Mer	04/03/2020
