Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	710	Métropole	17/03/2020
Bourgogne-Franche-Comté	549	Métropole	17/03/2020
Bretagne	247	Métropole	17/03/2020
Centre-Val de Loire	103	Métropole	17/03/2020
Corse	145	Métropole	17/03/2020
Grand Est	1820	Métropole	17/03/2020
Hauts-de-France	612	Métropole	17/03/2020
Ile-de-France	2177	Métropole	17/03/2020
Normandie	174	Métropole	17/03/2020
Nouvelle-Aquitaine	200	Métropole	17/03/2020
Occitanie	311	Métropole	17/03/2020
Pays de la Loire	126	Métropole	17/03/2020
Provence-Alpes-Côte d’Azur	478	Métropole	17/03/2020
Guadeloupe	27	Outre Mer	17/03/2020
Saint-Barthélémy	3	Outre Mer	17/03/2020
Saint-Martin	3	Outre Mer	17/03/2020
Guyane	11	Outre Mer	17/03/2020
Martinique	19	Outre Mer	17/03/2020
Mayotte	3	Outre Mer	17/03/2020
La Réunion	12	Outre Mer	17/03/2020
