Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	1101	Métropole	20/03/2020
Bourgogne-Franche-Comté	770	Métropole	20/03/2020
Bretagne	346	Métropole	20/03/2020
Centre-Val de Loire	219	Métropole	20/03/2020
Corse	168	Métropole	20/03/2020
Grand Est	3006	Métropole	20/03/2020
Hauts-de-France	759	Métropole	20/03/2020
Ile-de-France	3818	Métropole	20/03/2020
Normandie	187	Métropole	20/03/2020
Nouvelle-Aquitaine	432	Métropole	20/03/2020
Occitanie	537	Métropole	20/03/2020
Pays de la Loire	190	Métropole	20/03/2020
Provence-Alpes-Côte d’Azur	826	Métropole	20/03/2020
Guadeloupe	51	Outre Mer	20/03/2020
Saint-Barthélémy	3	Outre Mer	20/03/2020
Saint-Martin	4	Outre Mer	20/03/2020
Guyane	15	Outre Mer	20/03/2020
Martinique	32	Outre Mer	20/03/2020
Mayotte	7	Outre Mer	20/03/2020
La Réunion	38	Outre Mer	20/03/2020
