Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	64	Métropole	05/03/2020
Bourgogne-Franche-Comté	39	Métropole	05/03/2020
Bretagne	29	Métropole	05/03/2020
Centre-Val de Loire	2	Métropole	05/03/2020
Corse	3	Métropole	05/03/2020
Grand Est	77	Métropole	05/03/2020
Hauts-de-France	74	Métropole	05/03/2020
Ile-de-France	76	Métropole	05/03/2020
Normandie	6	Métropole	05/03/2020
Nouvelle-Aquitaine	8	Métropole	05/03/2020
Occitanie	11	Métropole	05/03/2020
Pays de la Loire	8	Métropole	05/03/2020
Provence-Alpes-Côte d’Azur	18	Métropole	05/03/2020
Guadeloupe	0	Outre Mer	05/03/2020
Saint-Barthélémy	1	Outre Mer	05/03/2020
Saint-Martin	2	Outre Mer	05/03/2020
Guyane	5	Outre Mer	05/03/2020
Martinique	0	Outre Mer	05/03/2020
Mayotte	0	Outre Mer	05/03/2020
La Réunion	0	Outre Mer	05/03/2020
