Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	618	Métropole	15/03/2020
Bourgogne-Franche-Comté	507	Métropole	15/03/2020
Bretagne	233	Métropole	15/03/2020
Centre-Val de Loire	90	Métropole	15/03/2020
Corse	126	Métropole	15/03/2020
Grand Est	1543	Métropole	15/03/2020
Hauts-de-France	585	Métropole	15/03/2020
Ile-de-France	1762	Métropole	15/03/2020
Normandie	156	Métropole	15/03/2020
Nouvelle-Aquitaine	178	Métropole	15/03/2020
Occitanie	262	Métropole	15/03/2020
Pays de la Loire	108	Métropole	15/03/2020
Provence-Alpes-Côte d’Azur	405	Métropole	15/03/2020
Guadeloupe	18	Outre Mer	15/03/2020
Saint-Barthélémy	3	Outre Mer	15/03/2020
Saint-Martin	2	Outre Mer	15/03/2020
Guyane	11	Outre Mer	15/03/2020
Martinique	16	Outre Mer	15/03/2020
Mayotte	1	Outre Mer	15/03/2020
La Réunion	9	Outre Mer	15/03/2020
