Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	211	Métropole	10/03/2020
Bourgogne-Franche-Comté	146	Métropole	10/03/2020
Bretagne	81	Métropole	10/03/2020
Centre-Val de Loire	18	Métropole	10/03/2020
Corse	42	Métropole	10/03/2020
Grand Est	464	Métropole	10/03/2020
Hauts-de-France	209	Métropole	10/03/2020
Ile-de-France	334	Métropole	10/03/2020
Normandie	37	Métropole	10/03/2020
Nouvelle-Aquitaine	54	Métropole	10/03/2020
Occitanie	61	Métropole	10/03/2020
Pays de la Loire	27	Métropole	10/03/2020
Provence-Alpes-Côte d’Azur	89	Métropole	10/03/2020
Guadeloupe	0	Outre Mer	10/03/2020
Saint-Barthélémy	1	Outre Mer	10/03/2020
Saint-Martin	2	Outre Mer	10/03/2020
Guyane	5	Outre Mer	10/03/2020
Martinique	3	Outre Mer	10/03/2020
Mayotte	0	Outre Mer	10/03/2020
La Réunion	0	Outre Mer	10/03/2020
