Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	264	Métropole	11/03/2020
Bourgogne-Franche-Comté	155	Métropole	11/03/2020
Bretagne	94	Métropole	11/03/2020
Centre-Val de Loire	20	Métropole	11/03/2020
Corse	51	Métropole	11/03/2020
Grand Est	578	Métropole	11/03/2020
Hauts-de-France	263	Métropole	11/03/2020
Ile-de-France	492	Métropole	11/03/2020
Normandie	54	Métropole	11/03/2020
Nouvelle-Aquitaine	66	Métropole	11/03/2020
Occitanie	87	Métropole	11/03/2020
Pays de la Loire	34	Métropole	11/03/2020
Provence-Alpes-Côte d’Azur	111	Métropole	11/03/2020
Guadeloupe	0	Outre Mer	11/03/2020
Saint-Barthélémy	1	Outre Mer	11/03/2020
Saint-Martin	2	Outre Mer	11/03/2020
Guyane	5	Outre Mer	11/03/2020
Martinique	3	Outre Mer	11/03/2020
Mayotte	0	Outre Mer	11/03/2020
La Réunion	1	Outre Mer	11/03/2020
