Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	454	Métropole	14/03/2020
Bourgogne-Franche-Comté	339	Métropole	14/03/2020
Bretagne	182	Métropole	14/03/2020
Centre-Val de Loire	54	Métropole	14/03/2020
Corse	106	Métropole	14/03/2020
Grand Est	1085	Métropole	14/03/2020
Hauts-de-France	466	Métropole	14/03/2020
Ile-de-France	949	Métropole	14/03/2020
Normandie	127	Métropole	14/03/2020
Nouvelle-Aquitaine	130	Métropole	14/03/2020
Occitanie	214	Métropole	14/03/2020
Pays de la Loire	82	Métropole	14/03/2020
Provence-Alpes-Côte d’Azur	281	Métropole	14/03/2020
Guadeloupe	3	Outre Mer	14/03/2020
Saint-Barthélémy	1	Outre Mer	14/03/2020
Saint-Martin	2	Outre Mer	14/03/2020
Guyane	7	Outre Mer	14/03/2020
Martinique	10	Outre Mer	14/03/2020
Mayotte	1	Outre Mer	14/03/2020
La Réunion	6	Outre Mer	14/03/2020
