Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	102	Métropole	06/03/2020
Bourgogne-Franche-Comté	129	Métropole	06/03/2020
Bretagne	40	Métropole	06/03/2020
Centre-Val de Loire	16	Métropole	06/03/2020
Corse	5	Métropole	06/03/2020
Grand Est	250	Métropole	06/03/2020
Hauts-de-France	173	Métropole	06/03/2020
Ile-de-France	104	Métropole	06/03/2020
Normandie	11	Métropole	06/03/2020
Nouvelle-Aquitaine	17	Métropole	06/03/2020
Occitanie	36	Métropole	06/03/2020
Pays de la Loire	18	Métropole	06/03/2020
Provence-Alpes-Côte d’Azur	38	Métropole	06/03/2020
Guadeloupe	0	Outre Mer	06/03/2020
Saint-Barthélémy	1	Outre Mer	06/03/2020
Saint-Martin	2	Outre Mer	06/03/2020
Guyane	5	Outre Mer	06/03/2020
Martinique	2	Outre Mer	06/03/2020
Mayotte	0	Outre Mer	06/03/2020
La Réunion	0	Outre Mer	06/03/2020
