Région de notification	Cas confirmés	Zone	Date
Auvergne-Rhône-Alpes	523	Métropole	15/03/2020
Bourgogne-Franche-Comté	412	Métropole	15/03/2020
Bretagne	207	Métropole	15/03/2020
Centre-Val de Loire	71	Métropole	15/03/2020
Corse	115	Métropole	15/03/2020
Grand Est	1378	Métropole	15/03/2020
Hauts-de-France	507	Métropole	15/03/2020
Ile-de-France	1209	Métropole	15/03/2020
Normandie	143	Métropole	15/03/2020
Nouvelle-Aquitaine	144	Métropole	15/03/2020
Occitanie	243	Métropole	15/03/2020
Pays de la Loire	98	Métropole	15/03/2020
Provence-Alpes-Côte d’Azur	330	Métropole	15/03/2020
Guadeloupe	6	Outre Mer	15/03/2020
Saint-Barthélémy	3	Outre Mer	15/03/2020
Saint-Martin	2	Outre Mer	15/03/2020
Guyane	7	Outre Mer	15/03/2020
Martinique	15	Outre Mer	15/03/2020
Mayotte	1	Outre Mer	15/03/2020
La Réunion	9	Outre Mer	15/03/2020
